review_description,rating
ياةعيكعته٤لتهقب,positive
hsjjjjjjjjjjj january and other hand side and other items found the first and more information and a new and the same way for more than that it has pictures from your password is an item in this site constitutes acceptance and other items on this page for a few of their respective owner is an important in your browser and more than one that it will also have the following information and other hand in your own this page was in a lot more information about us for more recently viewed at this is,positive
اطلب كنتاكي,positive
حتى الان التطبيق يعمل معي بشكل جيد,neutral
اعفن ابلكاشن,negative
بدخل كود خصم مش بيشتغل ومش عارف اوصل خدمة المساعدة,positive
خدمه زي الزفت يعني ايه اطلب والطلب ميجليش وعدا ساعتين,negative
عع,positive
الاكل لزيز من مطعم السوري,positive
الابلكيسن ممتاز جداا دا لانهم عندما تلبط كان سريع,positive
للاسف مفيش اي احترام للعملاء ولا يوجد مصداقيه لم استطع الوصول الي خدمة العملاء عن طريق الرابط,negative
جيد والعروض ولا اروع يارب تتدوم كده,positive
تطبيق رااائع,positive
منجز الوقت,positive
برنامج زبالة ومفيش ولا كود شغال 😡😡😡,negative
جد,positive
الصبح قنط قاعد في البيت طلبط فرخه راح رنيط علي السواق فراح كلي نص ساعه اسطنيت تلت سعات حدائق المعادي الفرخه كانت ١٠٠وبعد الخصم ٢٥راح ادي الفرخه لواحد صحبه وكتبلي طم الاستلام,negative
جيد جدا ؟!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,positive
البرنامج ممتازة جدا 💞💞,positive
الابلكيشن مديني بلوك و مش راضي يتفك و مش عارف اطلب خالص,negative
😀😀😀,positive
انا نزلت التطبيق ولما اجى افتحه يبعتلى تقرير انتظار او اغلاق,negative
👌👌,positive
جميله جدا جدا جدا,positive
خمتتتمتنممتمم لا ممكن اعرف ممكن منه ما ما فاهم مادته ما هي فوائد مما يجعل له في نعم مع غيره 6غنكغت,positive
البرنامج ممتاز😇,positive
منيح بس مش كل المطاعم موجودة,positive
لماذا اعطيتموني قسيمة بقيمة35 ريال ولم استطيع تعبئتها😡,negative
حلو يجنن,positive
ممتاز جدا جدا جدا وأنصح الجميع بتنزيله,positive
كل شي بيوصلك ..,positive
يعاد التحميل ولم يكتمل,negative
ساموسنج١٠,positive
حلو جدا ومفيد وكل تعامله محترم انا سمعت ولسه تحت التجربه,positive
اننظ,positive
خدمات جيده طلبت الطلب الاول,positive
احسن تطبيق توصيل,positive
كل شوي طلبي يتلغي ليهه؟؟؟؟؟,negative
أسوأ ابلكيشن تعاملت معه في حياتي أنصح الجميع بالبعد عن هذا البرنامج لم يتم توصيل الطلب و أيضا تم اضاعت كود الخصم 75جنيه الخاصة بأول طلب انصح الجميع بالبعد عن هذا البرنامج تم التواصل مع خدمة العملاء الخاصة بالابلكيشن و لم يحلوا المشكلة,negative
ماطلبت,positive
حلوه والله,negative
تمام الله ينور,positive
١٢٣٤٥٦٧٨٩٠,positive
برنامج زفت و بطء في كل حاجة,negative
جامدالعرض الجديد,positive
تطبيق سيء جدا تأخير الطلبات مبالغ فيه جدا,negative
برنامج مرا حلو😍😍😍😍😍,positive
تطبيق ممتاز والتوصيل على الوقت,positive
احقر تطبيق,negative
طلبت كيلو كفته من محل الصواف ولم يصل وكتب على الابلكشن أنه وصل وهو لم يصل تطبيق سيى,negative
سيء جدا ولله و معامله سيءه من الدعم ابلكيشن جووو احسن بكسير من هاذه بكسير ولله,negative
ابلكيشن زفت بجد وكل ماطلب اوردر يتلغي لوحده,negative
Good 👍 🦸‍♂️ Hi 👋 😊😊😊,positive
احلا واحسن تطبيق. يستحق التنزيل شكرا لكم,positive
مممم,positive
الصراحهه التطبيق روعه وتوصيلهم سريع)!!,positive
Wonerful,positive
تطبيق سي لا يوجد به مطاعم كثيره حتى لا يوجد بيتزا هت وانا في معادي,negative
تطبيق زفت وكود الخصم مش بيظهر مش فاهمة ايه قلة الذوق دي,negative
تطبيق ابن وسخه,negative
حلم,positive
٨دقايق على اساس في ناس كتير ٦٥العلاف..... تاتالبتاةةاو هيك نضل على الجوال نحن,positive
التطبيق كله نصب بنصب الفلوس الي موجوده بمحفضه التطبيق كل فتره تروح,negative
صباح الخير ارجو خدمة افضل,positive
التطبيق لا يعمل ابدا انا في لبنان,negative
برنامج فاشل جدا جدا جدا جدا من ناحيه طلب عن طريق بطاقه بنك ما انصح اي احد يطلب عن طريق الكريدت كارد كل مره اصادف مشاكل .. البرنامج يطلب ع كيفه و يسحب من البطاقه ع كيفه وفي حاله استرجاع المبلغ تعقيد تتاخر لفتره طويله ...,negative
لو سمحت كل ما اعمل تسجيل دخول بيقولي لازم اعدادات vpn او proxy لو سمحت عايز حل,negative
كلام مبالغ فيه مفيش تخفيض وخصم بجد ......,negative
السلام ااتت,positive
منطقتي ما فيها الا ٤ مطاعم معقوله,negative
حلو جءد جداه اشكركم علي العروض,negative
التطبيق نصااااااب اخذ علي 82وألغاء الطلب وما رجعو ريال وتواصلت معهم ما يردون,negative
جامد الصراحه,positive
البحك,negative
الووووو,positive
عايز خصم,positive
تجربة سيئة وعدم مصداقية في العروض والخصومات,negative
وزمبمشعش,positive
ده برنامج رائع جداً,positive
طلبت شبسي الشركه بتكلي هو احنا خداميين عند اهلك,negative
🥰💞🤩I 😍,positive
العروض معظمه وهميه علي الابليكشن وخدمة العملا مبتعملش حاجه,negative
"أرجو إضافة مزيد من المطاعم ومحال البقالة والفاكهة والجزارين وكبرى الهايبرات وغيرهم، كما أرجو إضافة المزيد من أكواد الخصم أسبوعياً وأن تكون متوفرة لكافة المطاعم، وتعميم خدمة التوصيل المجاني.",negative
❤️ ❤️ ❤️ ❤️,positive
طلبت منه كثير وكان أمن ويوصل الي منزل وكل شي مرتب,positive
زبالة انا النهارده 26/2/2021 طالب فرخة من كرم الشام البيطاش و اول آوردر و المفروض ليا خصم 75 و كل ده هجس دول زودوا 10 جنيه زيادة و طالبين 128 جنيه و لسه الاوردر ما جاش و بقالي ساعتين مستنيه و المفروض اني استني سعادتهم لما ييجوا و ادفع لهم عادي آحااا,negative
wowo,positive
تطبيق سئ اتسرقت انصح عدم الاستخدام,negative
اجمل برنامج 😂,positive
احلا برامج في مصر,positive
بدجنن,positive
كدابين والكود مش شغال,negative
اسوء برنامج علي الاطلاق الخصومات مش شغاله انا لا انصح بتنزيل التطبيق,negative
مصاريف التوصيل فجأة عليت ٣ اضعاف,negative
كذابين وسيئ,negative
عروض مميزة,positive
تطبيق روعه صدق بالاسعار ومواعيد دقيقه بصراحه انا مرتاح لهذا التطبيق,positive
يوصل بسرعه حبيت😘😘,positive
انتو بتوصلو فين لما انتو مبتوصلوش كل مااطلب حاجه,negative
برنامج متكامل وجميل وبسيط في التعامل,positive
وااااووو,positive
اوك باس الكود كوله انتهت والعرض انتا انا كول مطلب طالب وحط الكود يقولي الكود انته,positive
موقع رائع وممتاز انصحكم بالتعامل معه,positive
جامد فشششششششششخخ,positive
البرنامج ممتاز و لكن اعتقد النصب و الإحتيال من المطاعم طلبت عدة مرات و الطلبية تكون ناقصة للأسف. أرجوا متابعة كنتاكي نزوى . حيث أنني اطلب عن طريق البرنامج و عند استلام الطلب أجده ناااااااقص.,positive
تطبيق ممتاز😍,positive
م يوصل لكثير من المناطق مع اني من محافظة مسقط و يقول إنه لا يوصل لهذا الموقع,neutral
هتبزلب,positive
روان وشروق وساندى وهاجرو عمروايادوماماوباباوتاتاوحاجاومحمودواحمدومحمد,negative
نصابيييييييييييييين,negative
أسوأ ابلكيشن في مصر وخدمة عملا زفت نصيحة اوعي تشتري منهم فيزا لأنك هتكون تحت رحمة أسوأ خدمة في مصر,negative
برنامج ابن متنكه نصاب لايستحق النجمه ولا تعليق نصبين,negative
ليش مافي دولة العراق بالتطبيق,positive
Ditggu see the attached resume for the attached document for you read this and I have a nice day ahead for your time to get to the same the attached resume,negative
شركة وحشه جدا وبتعمل حظر,negative
تطبيق بجنن وتعالو كتير مرتب,positive
جيدجدا ونرجو التطوير أكثر والثبات على مساعدة المجتمع دائماً بالعروض والتخفيضات ولكم الأجر والنجاح 🌹,positive
اليوم الصبح حكيتو انكم عطتونى خمس دنانير وعلى المسا كانو رايحات. انتو بتصورو الكميرا الخفيه لرمضان,negative
اقسم توصيل روعة و الأكل حلو انصح الكل يحمل الطبيق,positive
جميل ومميز جدا,positive
مقلة الدوران,positive
"تطبيق رائع، ناس محترمين، واخدين بالهم من كل صغيرة و كبيرة 👍",positive
اجمل موقع تطلب منه اعطيه 9999999من10,positive
Tmm,positive
جميل جدآن,positive
تمام ت٧,positive
وحشة جدا جدا👎👎👎👎👎👎👎👎👎👎👎👎👎👎,negative
١٠-Oct,positive
احلا برنامج ينفع عرض,positive
كل مرة احاول اطلب اوردر يجيلى رسالة انى استخدمت الخصم للمرة الأولى فقط مع العلم انى مطلبتش ولا مرة,negative
اصبح برنامج سئ للغايه ومش بنعرف نستخدم العرووض,negative
اعلانات كثيرررروة,negative
برنامج سيء أعطوني كود ولما فتحته تعطل البرنامج,negative
شركة حرامية بعد ما عملنا اوردر ودفعنا الفلوس بالفيزا يتصلوا بينا بعدها بنصف ساعة يقولوا معلش الاوردر مش هيجى وتسترد الفلوس بعد ١0 ايام دى شركة سيئة جدا جدا ومحدش يتعامل معاهم علشان مفيش احترام للعميل,negative
كتييير مميز,positive
تطبيق ممتاز انصحكم تنزيله,positive
تطبيق رائع وله مستقبل نرجو تعميمه على كل المحافظات,positive
ممتاز مشكورين,positive
تجربه جميله,positive
تتطبيق رائع جدا,positive
تطبيق سيء و نصاب,negative
تطبيق جذا جميل اتمنى له كل النجاح من افضل تطبيقات التوصيل يلي تعاملت معها ❤❤❤,positive
التطبيق فوق الروعه جميل جدا جدا جربو مش هتندم,positive
بياخد وقت طويل جدا ف الفتح ارجو تحسين الخدمة,neutral
ممتاز فعلا برنامج فعال وشكرا لكم,positive
موقع اسطوري,positive
خدمه متميزه وسرعه في تحضير الطلب,positive
يوجد حظر لبعض المناطق عن المطاعم خدمة غير شاملة لجميع المناطق ع الرغم المسافة قصيرة أسوء تطبيق,negative
يستحسن أن ترجعوا الخصومات علي البقاله,negative
برنامج نصاب وبرنامج كداب,negative
التطبيق مش عايز يشتغل 😠😠,negative
الاكل غير الصور اللي موجوده طلبت اكل من مطعم بالينو ف الزقازيق وطلع الاكل تغليفه سئ جدا والاكل منصوب عليا فيه ورميته وعملت تقييم وكتبت دا ف التقييم والابلكيشن مسح التقييم بتاعي عن المطعم صراحه مفيش مصداقيه راجعو نفسكم,negative
جيد جدا وسهل كل شيء,positive
💕💕,positive
انا لسا مجربتهوش بس بيقولو هو حلو وسريع جداا,positive
Ggh,positive
"للأسف تطبيق سيء جداً انا طلبت اوردر ولم يصلني وبعدها تظهر لي رسالة باستلام الطلب وانا لم استلم شيء وحينما تواصلت مع التطبيق قالوا يظهر لنا ان الطلب تم استلامه وانا لم يصلني شيء ولما قدمت شكوى قالو سنحل المشكلة ، علما والحق يذكر ان خدمة العملاء تعاملوا بكل طيب لكن الى الان لم تحل المشكله ، وبعدها ارسلت قالوا فعلا فيه طلب جاي لحضرتك ولم يصلني شيء وهذا بحد ذاته عيب وعدم مصداقية وخاصة أنكم تسعون للانتشار ، في ظل تنافس الكثير من التطبيقات ، للاسف هذه التصرفات ستفقدكم زبائنكم",negative
جميل جميل الله يخليه لنا😁😁😁😁😁,positive
سىء جدا وعروص وهمية واسعار توصيل مبالغ فيها وعدم استعمال كمامات ولا اتباع تعليمات كرونا فالتغليف ومنتجات منتهيه الصلاحيه اللي فالعروض احذروا الغش التجاري وابلغوا الصحة فورا,negative
كدابين اورد طلبته واتأخر عليا كنسلته حبيت اطلب غيره من مكان اقرب قالولي انت استنفذت الخصم 75 جنيه من غير ما اطلب,negative
انه جميل جداً,positive
اناحسن,neutral
او تجربة وواجهت مشكلة ان تفعيل الكود 75ج مرفوض والسستم خصم الفلوس من فيزا وبعدها عم الغاء للطلب وفلوسي راحت عليا,negative
تطبيق زباله الله يلعنكو,negative
لسه تحت التجربه,negative
فاشل انزله وابحث عن المطعم اللى انا عاوزه غير موجود,negative
ها ل ل الله لا اله,positive
بجنن خصوصن توصيل مجاناً,positive
اعجبنى,positive
فهؤلاءمح مدمهرجانمحمدمهرجانمحمدعبدمهرجانمحمد,positive
زفت طلبت اورد ومجاش ومش راضي يديني خصم خالص,negative
ليه بيقولي عذرا ومش عاوز يجي منطقه المنيب..,negative
تطبيق رائع و خدمة سريعة,positive
الب,positive
لسة هجريه ناو,positive
انا كل ماطلب بكود الخصم ال75 الطلب المطاعم مابتقبلوش المشكله من المطعم ولا من التطبيق,negative
التطبيق م عليه كلااام . . بس محتاج زياده مطاعم ف نزوى ويصير احلى . بس هذا شي بسيط م ينذكر 5 نجوم تعبر عن كل شي زين .,positive
برنامج راائع يوفر علينا وقت وجهد ويسهل الطلب من أي مطعم احبه,positive
هل يمكن الدفع هن طريق الفيزا كارد أو الماستر كارد؟,positive
التطبيق حلوووه Thanks Jeddin for this beautiful app. Thank you,positive
حلو تطبيق وسهل استخدم Thanks Jeddan for this beautiful application,positive
هحلو,positive
روعه جدا وتسلم,positive
رأعا,positive
طريقه بىن,positive
مماتز,positive
برنامج وحش اويي انا داخله اشوف العرض 75٪ده وطلع كذب كلوو,negative
لن يعامل واريد حالني واريد احد لاتوصل في هذه المشكلة,negative
مريحة وسريعة,positive
ممممممتاز,positive
Gmel,positive
تطبيق ممتاز وبنصح بتحميله,positive
تم حذف التطبيق الفاشل بنجاح تطلب سمك يوصلك لحم جمل,negative
الاكل بارد والمشروب ليسه بارد؟,neutral
تطبييق محترم جدا جدا😀💞💓,positive
خيغ٥ط٨كصغفذغرلغجججعل,negative
البرنامج ريح الناس من عناء المشاوير وزحمة الطرق والانتظار. شكرا لكم على هذه الخدمه..,positive
محتاج شويه اهتمام وشويه,positive
افضل تطبيق في العالم,positive
ننهن,negative
الخصومات سعات بتشتغل وسعات لا التطبيق مش شغال بشكل سليم لا انصح بلأستخدام,negative
جميل جدا مميزة جدا,positive
انا بحب التطبيق الصراحة,positive
موقع محترم,positive
نااااااااررررررر,positive
طلبت اوردر وفضلت متابع ع التطبيق لحد م قلي قيد لتوصيل خمس دقايق ويوصل عدا ال5دقايق والاوردر اكتب تم التسليم ومجاليش اصلا اقسم بالله بجد احا اي شغل المعاتيه دا,negative
حضرتك أنا فاتح مطعم كبابجي ومحتاج اتواصل مع خدمه العملاء عشان انزل شغلي ف الابلكيشن,positive
بلا أى جدال احسن برنامج أكل محترف فى مصر رقم واحد طلبات,positive
ادم,positive
Gh,positive
التطبيق وحش جدا ومش راضي يشتغل معايه 😑😑😑😑وميستهلش نص نجمه حته وحطيت نجمه علشان اقول التعليق,negative
خخخخخخخخخ احه,negative
نصابين و عشان ماحدش خصم اول طلب قعدوني ٣ ساعات و كلموني لغوا الأوردر و قالولي اطلبي تاني و بعد ما طلبت قالولي انتهت صلاحية خصم اول طلب,negative
رأىع,positive
حبيبي,positive
كيف ارجع البرنامج بالعربي,positive
ممتاز ورائع,positive
lov it,positive
لم يرسلو لي نقود بعد ١٧ طلب,negative
جميلللللل,positive
تجربة ممتازة,positive
افضل شركه احب اشكر شركه talabatاجمل تطبيق ممكن تعرفوه,positive
جمميييللل,positive
بجد إشتغالات وأى كلام المطاعم أصلا بلح كله همه الفلوس بس وتيجى تدخل قسيمة أو خصم كل واحد بمزاجه يا إما المطعم أو البرنامج هههههههه يا عم كفاية بقى إشتغالات,negative
الاكل بيتاخر جدا و خدمه سيئه للغاية,negative
لا يعجبني,negative
يجنن أنا كل يوم بتلب منه جربت كزى مطعم الصراحة كتير يجنن والأسعار حلوة والخدمة ممتازة بشكركم من ألبي🥰🥰🥰,positive
هذا هو تطبيق سيء للغايه نزلت مره ومسحته نزلت ثاني مش راضي يتثبت نزلت ثاني مش راضي يستقبل,negative
جميل كثير لكن الي كان نفسي ان مافي امور ثانيه غير الاكل ياريت لو في عطور و ملابس و مكياج راح يكون هذا افضل واحلى و اتمنى يضيفون هذا الشي بالتطبيق وشكرا❤,positive
مطعم برمبي المأكولات سي فود,positive
ممتاز👍😊,positive
رائع جدا ♥️,positive
ابو عطه,positive
جميله جدا شكرا بجد,positive
ممتاززز,positive
طالا طلباااااااااااات,positive
برنامج غبي,negative
الأفضل و المفضل. يوفر الوقت والجهد,positive
تطبيق جميل وسريع الخدمة الله يوفقكم,positive
كدابين ونصابين و أي أكل المطعم بيطلعه لطلبات بيبقى تعبان واي كلام انما لو طلبت م المطعم مباشر بيروقلك ع الطلب ومتقولوش مشكلتك ايه يا فندم لان دي مشكله مبتتحلش والمطاعم كلها بتعمل لطلبات أي كلام,negative
الأسعار أغلى من الطلب المباشر من المطعم,negative
والله احسن شي طلبات كمعاملات وسرعه الاستجابه الله يعطيكم العافيه,positive
شكرا لحضرتك ❤️❤️❤️❤️,positive
بيجنن حلو كثير,positive
اشي فخم,positive
نزلت الابلكشين و اشتكيت ليكم على الايميلات الخاصه بيكم و تم الرد ان اول اوردر ليا عليه خصم ٥٠ جنيه رغم ان اول اوردر طبقا للاعلانات الخاصه بكم ٧٥جنيه انتوا بتضحكوا علينا و الا ده اعلانات غير صحيحه عشان ننزل الابلكشين,negative
جميل جدا بكن المرجو ضم مناطق أكثر بتغطيتها,positive
حلو جدآ جدآ جدآ,positive
ليه طلبات مش مغطيه المحافظه كامله انا منطقتى خارج التغطيه ومش بعرف اطلب اى حاجه وانا فى البيت ؟,negative
نزلت البرنامج ومش جالي ولا عرض ولا قسيمة ولاكوبون ححذف البرنامج انتوا بتضحكوا علينا عشان نحمل التطبيق,negative
جيدة جداً,neutral
"المطعم القريب لا يظهر في طلبات و نفس المطعم الفرع البعيد يظهر لكي تدفع مبلغ توصيل أكثر ، هذا أستغلال",negative
حلووه❤😂,positive
سيء جدا ومفيش مصداقية ولا مساعدة واعلانات ع الفاضي,negative
💞💞,positive
فل الفل,positive
Great thanks so much,positive
بموت فيك ٥ الله يسلمك يارب ويحفظك,negative
ولا اروع جميل جدا,positive
منتدى ز,positive
خصومات وهميه,negative
وحشين,negative
ارجو الدعم لأرض اللواء,negative
حلو شديد,positive
هههههههههه,positive
جيدة جدٱ,positive
جيدة ذ,positive
اتمني تدعمو ارض اللواء 😭😭😭😭😭😭,negative
التطبيق سئ جدا لايوجد مكان لكتب كود الخصم,negative
ممتاز😊,positive
واو سريع,positive
نيس,positive
قمنا بالطلب من حلويات العنبتاوي و وصلت مثلجة لانه سائقكم حضرته اخذ طلبين اول شي وصل طلب من العنبتاوي الي بابو نصير لخلدا وبعدها رجع للجبيهة يوصل النا الطلب وقدمنا شكوى وما تم الاستجابة وهذا دليل سوء الادارة,negative
من اسوء خدمات التوصيل وعدم المصداقيه في الوقت,negative
ممكن,positive
New 75,positive
ياخي برنامج فخم يوصل كل مناطق🧤💙,positive
فاشل فاشل فاشل بعد ما دخلت الكود واعطاني خصم ٥٠جنية غير الفاتورة وشال الخصم والمطعم اتصل بيا يطالب بكامل الفاتورة,negative
خدمه العملاء و حل الشكاوي ممتازه و عروض قويه انصح بتنزيل البرنامج,positive
شركه كدابه بيقولو الكود new75 عليه خصم علي اي اكله 75٪,negative
رهيب وممتاز 👍,positive
ممتاز 👌🏽 🌹,positive
جميل جدا ورائع جداً جداً,positive
سرقه علنى,negative
جميل جدا شكرا,positive
حلو اووي,positive
رائع وافظل تطبيق,positive
الاكل عالوقت وسخن ونظيف يعطيكم العافية♥️,positive
البرنامج رائع,positive
كان كويس الحين لا,negative
تتتاا,positive
روعة جدا,positive
من اقوى و احلى التطبيقات في عالم الديلفري ياريت تستمروا على كدة و للأفضل,positive
احلا تطبيق في العالم🔥🔥🔥🔥🔥🔥🔥🔥🔥,positive
ممتازه جدآ وخدمات رائعه وعروض ارووع,positive
جامد جدان,positive
طلبات ممتازه جدا ولا داعي للتبويخ عنها,positive
شغل طيب,positive
ممتاز ميه بالميه,positive
اي هو الكود بتاع اول اوردر,negative
الافضل على الاطلاق,positive
"تطبيق جيد ، ولكن سعر التوصيل مرتفع",neutral
ممكن اعرف اخد كوبون خصم ازاي,positive
شركه حرميه وبتخزي,negative
انا بحاول احمل البرنامج بقالي شهر مش راضي ينزل ع الجهاز بيتحمل بس مش بيتثبت ومش فاهم في اي المشكله ف انا عايز رد او حل للموضوع دا منك,negative
افضل تطبيق نتمنى دوام التقدم,positive
زك,negative
تطبيق رائع وأسعار منايبه,positive
بجرب تو,positive
مقبوله جدآ,positive
تطبيق رائع في دولتي الاردن متجاوبين متعاونيين اخطاء قليله ومن المطعم بتكون مش من التطبيق بتمنى الاستمرار والتقدم,positive
👍🏼,positive
مميز كتير وحلو,positive
جيد جدا ممتاز جميل,positive
ممتاز جدا والله ومفيد جدا وموفر للوقت والتوصيل في اسرع وقت,positive
رائع وعروضه تجنن,positive
التطبيق غير مفعل عندي للاسف ايه السبب وايضا حتي الان لا يعمل بالرغم من اني مسحته ونزلته اكتر من مره,negative
سريع وراءع وياتى لى من اى مكان,positive
كثير التطبيق مميز وفي عروض,positive
شئ رائع وتعامل لطيف وسرعه ودقه في المواعيد,positive
فنانن,positive
برنامج جدا رائع شكرا على جهودكم واتمنى ان تعطوني رصيد مجاني 😂,positive
هذا التطبيق جميل,positive
شئ رائع,positive
The faster application to get the food and drink quickly,positive
بسم الله ماشاء الله المطاعم كلها حلوه,positive
ممتاذة,positive
Thank.s Very good mum,positive
جميله وعروض حلوه,positive
ممتاز جدا جدا ربنا يحفظكم,positive
كفو كفو,positive
🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍😍🇰🇼,positive
سئ جدا كل مرة بيتعذر التوصيل,negative
تطبيق ممتاز جدا انصح الجميع باستخدامه ❤️❤️,positive
المفروض ان في ٧٥ جنيه خصم في الاول وده طبعا اشتغاله معرفش ليه,negative
رم بجد اوي,positive
برنامج حلو بس المشكله ان الاكل بيوصل متاخر اوي,positive
عدم تواصل معاهم بس أشكركم على إهتمام طلبات,positive
واووو😍🥰❤👍,positive
رائع جدا جدا جدا جدا جدا والتوصيل سريع وخدمه التوصيل كويسه مابيتاخرو ع الطلب,positive
حبيبي ابو الجدعان من مصر إلى بورسعيد لمتابعة التحقيق في حمزاوي مع ساويرس,positive
تجربة رائعة اتنمى لكم مزيد من الازدهار والنجاح....بالتوفيق,positive
رائع جداً جداً جداً جداً,positive
💯 💯,positive
ياخذون عن كل خمس بيسات 100 بيسه !!!!!!!,negative
انا نزلتو لانو اصحابي استفادو من عرض اول استخدام بينزل ع رصيد ٥ دنانير بس ما نزلي رصيد ولا في اي عرض مميز عن باقي الخدمات! ما بعرف الغلط منكم ولا من عندي,neutral
ولا تتسحق نجمه باسبب التاخير,positive
رائعة جداً جداً,positive
رائع وموفر,positive
روووووعه وتعامل راقي وتوصيل بنفس الوقت 🌹🌹,positive
انا زبونة دائمة ليش ماتسوون لي توصيل مجاني !؟,neutral
ممتاز جدا هذا التطبيق,positive
رائع جدآ صار معي مشكلة وتم حلها من الاداره برنامج رائع جدآ جدآ,positive
لم احصل على الخصم 75 في المئه اثناء اجراء الطلب الاول,positive
كتير ممتاز والخدمة سريعه,positive
ممتاز وافضل تطبيق حاليا و خدمة ممتازة وسرعة دليفري وامانه من الادارة وسرعه في الىد عبر الشات بالابلاكيشن و في استرداد المبلغ المدفوع بالكريدت في حال الغاء الطلب سواء اكان من العميل او المطعم .... ينقص فقط وهذا عيب من بعض المطاعم عند الغاء طلب من جهة المطعم فعليه يبلغ العميل سبب الالغاء او الرفض لنقرر ان كنا سنعود للطلب من هذا المحل او المطعن او نتركه نهائيا .. مثلما حدث الغاء من الشبراوي وعظيمه و ابو عوف ولم يذكر السبب ولكني لم ولن اعود لعمل اوردر منهم,positive
تطبيق جميل اوي,positive
احلى تطبيق بالحياه,positive
البرنامج ده زباله اوووي مش حلو عشاان مش بيدي الخصم لأي حد حتى انا مش عاوز يجيلي😏😪👎,negative
ممتازةالخدمات,positive
افضل برنامج لطلب الاكل,positive
تطبيق ممتاز مب بعد تحويله من اطلب الى طلبات وبالأخص المساعده بتاعت الابلكيشن,positive
توصيل متأخر جدا,negative
ص2ضضلبر11صض١ص,negative
سيء جدا و في مرا طلبت عصير و جاني مقطوع بعدين رجعت طلبت عطيتهم العصير المقطوع و قلت ما راح ادفع قال الازم قلت كيف لازم و هو مقطوع قال مو انا الي عطيتك العصير قلت قطيت عليه العصير بس رجعه ب وقاحه,negative
جدع وكذاببن,positive
حلو جدآ هذا البرنامج,positive
أروع خدمة من شركة طلبات وعروضكم لا تعوض,positive
ممتاز جداً وسرعه بتوصيل,positive
"اشوف ان التطبيق ممتاز جدا ، ما منهم اي قصور ، كل القصور من المطاعم",positive
رائع ومفييييد,positive
جيدجدا...ولكن بجب ان يكون هناك تنوع أكثر بالعروض والمطاعم ...,positive
"أجمل تطبيق ،،،، سرعة في التوصيل",positive
تحفه بجد,positive
التطبيق كويس واحترافي بس فيه مشكلة كبيرة ان السائق اللي بيوصل دايما يتصل للسؤال عن العنوان ومفترض ان فكرة التطبيق اصلا تقليل الاتصال او عدمه لو كدة كدة هنتصل ونتكلم إيه الداعي للأونلاين أصلا,neutral
شركة محترمة وعروض حقيقية عن تجربة استفدت بأكثر من عرض شكرا لكم,positive
Vig fans,positive
Not bad,neutral
الخدمه مش علي اكمل وجه,positive
تطبيق جيد جدآ انصح بتحميله,positive
نصاب,negative
سفاح,positive
كثير من المطاعم لديكم لاتقومون بخدمة توصيل لمنطقة سكني ام سقيم ٣,neutral
ممتاز بس وين كارفور 😭😭😭😭,positive
ممتاز ومريح انصح بتنزيله,positive
👍👍❤,positive
دي شركة كدابة والابلكيشن بيعد يتوهك ف حجات انتا مش فهمها وف الاخر ميتفعلش الكبون كدابين,negative
جميل جدا وسريع,positive
ممتاز ومصداقية ورائع جدا,positive
تطبيق رائع بختصر لك وقت التبضع باسعار مرتفعة نوعا ما لكن المشكله ليس في التطبيق المشكله في السوبرماركتات الكبيره عمرهم مايجيبون الطلب كامل,neutral
ورع,positive
ممتاااااز,positive
خدمة متميزة,positive
تجربه طيبه لولا التأخير في بعض المطاعم,positive
"سرعه ف التوصيل ، وخدمه ممتازه جدا",positive
كل مره تحديث ونهاية تحديث 🥲,negative
سئ جدا وحكاية الخصم دي مش صحيحه,negative
افضل تطبيق طلبات سرعه ودقه بالوقت,positive
عاوزين عروض اقوى,positive
"تطبيق جيد جدا،",positive
تطبيق تطبيق شوكلولو على قولت ناجي القاق بنصح الكل ينزله بجيب لك نفس السعر لباب بيتك ومرات بكون عامل عروض وبكون خصم 50 بالمئه بيجيك ارخص من لما تروح على المحل والتوصيل مجانى انصح الكل بتجربه هذا التطبيق,positive
برنامج فوووووق الممتاز,positive
جيد جيدا,positive
موقع رااااائع,positive
ممتازة خاصة الهدايا 20 درهم كل فترة اللهم زد وبارك,positive
تطبيق رائع ومفيد وخدمة ممتازة ومريحة اسعار لطيفة,positive
مسعف وقت الجوع 😂💜,positive
برنامج جميييييل,positive
تطبيق جميل جدا بس أسعار التوصيل غاليه شوي,positive
هو أفضل تطبيق للطلبات في مصر خدمة عملاء محترمة ومحترفة رسالة شكر لطلبات وموظفينها الكرام.. لم أجد غير الصدق واحترام العميل . شكرا لكم من القلب.,positive
حلو مره❤️😍😍😍😍😘😍🌹🌹🌹🌹♥️,positive
طلبات مرة حلو وعجبني حلو وماي طول عجيب,positive
خدمه عملاء سيئة جدا و عند الطلب من المطاعم يتم الرفض ولن يتم التعامل معكم مره اخري,negative
حضرتك مفيش مصدقيه ومفيش عروض اصلا,negative
ذوووووووق,positive
جميل جدااااااا,positive
😘 😊 😘,positive
جميل جدنااا,positive
روعاااااااااااااا بس كترو من العروضات روعاااااااااااااا 😂😂,positive
"من فضلكم ترجعوا فلتر ""استخدم القسيمة"" عشان التطبيق مالوش لازمة من غيره و مش عارفين نستفيد بأي عروض .",negative
